voter_name,affiliation,x1st_place_10_points,x2nd_place_7_points,x3rd_place_5_points,x4th_place_3_points,x5th_place_1_point,year,award
Tim MacMahon,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)",2019,MVP
Tim Reynolds,Associated Press,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Lillard, Damian (POR)",2019,MVP
Vince Goodwill,Yahoo!,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Weiping Zhang,CCTV,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","George, Paul (OKC)",2019,MVP
Will Guillory,The Athletic,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","George, Paul (OKC)","Curry, Stephen (GSW)",2019,MVP
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2019,MVP
Zach Lowe,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Ailene Voisin,Sacramento Bee,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Amin Elhassan,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Lillard, Damian (POR)",2018,MVP
Andrew Sharp,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2018,MVP
Anthony Slater,The Athletic,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Ben Golliver,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Bill Oram,Orange County Register,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Bill Simmons,The Ringer,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","Oladipo, Victor (IND)",2018,MVP
Brent Barry,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)",2018,MVP
Brett Dawson,The Oklahoman,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Brian Mahoney,Associated Press,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)",2018,MVP
Brian Windhorst,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Cassidy Hubbarth,ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Chase Hughes,NBCSportsWashington.com,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)",2018,MVP
Chris Broussard,Fox Sports,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Lillard, Damian (POR)",2018,MVP
Chris Haynes,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)",2018,MVP
Chris Mannix,Yahoo!,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2018,MVP
Chris Webber,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","DeRozan, DeMar (TOR)","Davis, Anthony (NOP)",2018,MVP
Clifton Brown,Indianapolis Star,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Connor Letourneau,San Francisco Chronicle,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Dave McMenamin,ESPN.com,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
David Aldridge,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Westbrook, Russell (OKC)",2018,MVP
Davide Chinellato,La Gazzetta dello Sport,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Dennis Scott,Turner,"Harden, James (HOU)","James, LeBron (CLE)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)",2018,MVP
Diego Martínez Cabrera,Periódico Reforma,"James, LeBron (CLE)","Harden, James (HOU)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)",2018,MVP
Doris Burke,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Eddie Sefko,Dallas Morning News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)",2018,MVP
Elliott Teaford,Southern California News Group,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Ernie Johnson,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Antetokounmpo, Giannis (MIL)",2018,MVP
Flavio Tranquillo,Sky Italia,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Curry, Stephen (GSW)",2018,MVP
Frank Isola,Sirius Radio/New York Daily News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)",2018,MVP
Gary Washburn,Boston Globe,"James, LeBron (CLE)","Harden, James (HOU)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Oladipo, Victor (IND)",2018,MVP
Gina Mizell,Denver Post,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Greg Anthony,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2018,MVP
Greg Logan,Newsday,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)",2018,MVP
Howard Beck,Bleacher Report,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)",2018,MVP
Jackie MacMullan,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)",2018,MVP
Jalen Rose,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Lillard, Damian (POR)",2018,MVP
Jared Greenberg,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)",2018,MVP
Jason Jones,Sacramento Bee,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Jason Lloyd,The Athletic,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)",2018,MVP
Jason Quick,NBC Sports Northwest,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)",2018,MVP
Jeff McDonald,San Antonio Express‐News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Jeff Zillgitt,USA Today,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Lillard, Damian (POR)",2018,MVP
Jerry Zgoda,Minneapolis Star Tribune,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2018,MVP
Joe Cowley,Chicago Sun‐Times,"James, LeBron (CLE)","Harden, James (HOU)","Butler, Jimmy (MIN)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)",2018,MVP
John Schuhmann,NBA.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Jon Barry,ESPN Radio,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Justin Termine,Sirius Radio,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)",2018,MVP
KC Johnson,Chicago Tribune,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Keith Pompey,Philadelphia Inquirer,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Lillard, Damian (POR)",2018,MVP
Kevin Arnovitz,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Kevin Harlan,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2018,MVP
Kevin O'Connor,The Ringer,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Aldridge, LaMarcus (SAS)","Antetokounmpo, Giannis (MIL)",2018,MVP
Kevin Pelton,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Westbrook, Russell (OKC)",2018,MVP
Kristen Ledlow,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2018,MVP
Kurt Helin,NBCSports.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Lee Jenkins,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2018,MVP
Lisa Shen Yang,Tencent,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2018,MVP
Manny Navarro,Miami Herald,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Marc Berman,New York Post,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2018,MVP
Marc Kestecher,ESPN Radio,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Mark Jackson,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Lillard, Damian (POR)",2018,MVP
Marv Albert,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","DeRozan, DeMar (TOR)",2018,MVP
Matt Velazquez,Milwaukee Journal Sentinel,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Matt Winer,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Michael Grange,Rogers Sportsnet,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","DeRozan, DeMar (TOR)",2018,MVP
Michael Wilbon,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Michelle Beadle,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Mike Breen,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Mike Ganter,Toronto Sun,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","DeRozan, DeMar (TOR)",2018,MVP
NBA Fan Voting,NA,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)",2018,MVP
Nira Khurana,Excelsior,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Lillard, Damian (POR)",2018,MVP
Paul Flannery,SB Nation,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)",2018,MVP
Rachel Nichols,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Ramona Shelburne,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)",2018,MVP
Reggie Miller,Turner,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Ric Bucher,Bleacher Report,"Harden, James (HOU)","James, LeBron (CLE)","Durant, Kevin (GSW)","Lillard, Damian (POR)","Davis, Anthony (NOP)",2018,MVP
Richard Walker,Gaston Gazette,"Harden, James (HOU)","James, LeBron (CLE)","Durant, Kevin (GSW)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Rob Mahoney,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Rod Beard,Detroit News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Ron Tillery,Memphis Commercial Appeal,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Lillard, Damian (POR)",2018,MVP
Rosalyn Gold‐Onwude,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Royce Young,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2018,MVP
Sam Amick,USA Today,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Scott Bordow,Arizona Republic,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)",2018,MVP
Sean Deveney,The Sporting News,"Harden, James (HOU)","James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)",2018,MVP
Sekou Smith,NBA.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2018,MVP
Sherrod Blakely,NBC Sports Boston,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)",2018,MVP
Stefan Bondy,New York Daily News,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2018,MVP
Steve Aschburner,NBA.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Steve Smith,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)",2018,MVP
Thales Soares,Globoesporte.com,"James, LeBron (CLE)","Harden, James (HOU)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)",2018,MVP
Tim Reynolds,Associated Press,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)",2018,MVP
TJ Manotoc,ABS‐CBN,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2018,MVP
Tony Jones,Salt Lake Tribune,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2018,MVP
Vincent Goodwill,NBC Sports Chicago,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Weiping Zhang,CCTV,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2018,MVP
Will Guillory,New Orleans Times‐Picayune,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Xavier Vaution,BeIn Sport,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)",2018,MVP
Yoko Miyaji,Sports Graphic Number,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Zach Lowe,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Ailene Voisin,Sacramento Bee,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Andrew Sharp,Sports Illustrated,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Anthony Slater,Bay Area News Group,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Antoni Daimiel,Moviestar+,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Ben Golliver,Sports Illustrated,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Bill Oram,Orange County Register,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Bill Simmons,The Ringer,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Brent Barry,Turner,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Brian Lewis,New York Post,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Brian Mahoney,Associated Press,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)",2017,MVP
Brian Windhorst,ESPN.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)",2017,MVP
Calvin Watkins,ESPN.com,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)",2017,MVP
Charles Gardner,Milwaukee Journal-Sentinel,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)",2017,MVP
Chris Broussard,Fox Sports,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Chris Webber,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
David Aldridge,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Durant, Kevin (G.S.)",2017,MVP
Davide Chinellato,LaGazetta Dello Sport,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Dennis Scott,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Durant, Kevin (G.S.)",2017,MVP
Doris Burke,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Doug Collins,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Doug Haller,Arizona Republic,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Doug Smith,The Toronto Star,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Eddie Sefko,Dallas Morning News,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Erik Horne,The Oklahoman,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Ernie Johnson,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Flavio Tranquillo,Sky Italia,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Fran Blinebury,NBA.com,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Frank Isola,Sirius Radio/New York Daily News,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Gary Washburn,Boston Globe,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2017,MVP
Howard Beck,Bleacher Report,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Hubie Brown,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2017,MVP
J Michael Falgoust,CSN Washington,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2017,MVP
JA Adande,ESPN.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Jackie MacMullan,ESPN.com,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)",2017,MVP
Jacques Monclar,BEIN Sport,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2017,MVP
Jalen Rose,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Jared Greenberg,Turner,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)",2017,MVP
Jason Jones,Sacramento Bee,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Jeff McDonald,San Antonio Express-News,"Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Jeff Zillgitt,USA Today,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
Jerry Zgoda,Minneapolis Star-Tribune,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
